date, pm25, pm10, o3, no2, so2, co
2022/2/1, 220, 139, 14, 8, 3, 7
2022/2/2, 212, 100, 8, 5, 2, 6
2022/2/3, 181, 57, 5, 5, 2, 5
2022/2/4, 119, 91, 7, 10, 2, 8
2022/2/5, 167, 182, 13, 12, 3, 10
2022/2/6, 206, 132, 14, 13, 3, 7
2022/2/7, 196, 136, 16, 14, 3, 8
2022/2/8, 196, 77, 9, 6, 2, 5
2022/2/9, 140, 95, 11, 10, 2, 6
2022/2/10, 148, 105, 14, 11, 3, 5
2022/2/11, 146, 123, 14, 14, 4, 6
2022/2/12, 157, 168, 18, 16, 3, 8
2022/2/13, 186, 189, 17, 17, 3, 7
2022/2/14, 257, , , , , 
2022/1/3, 286, 264, 18, 21, 3, 10
2022/1/4, 287, 210, 5, 13, 2, 10
2022/1/5, 293, 98, 6, 8, 2, 7
2022/1/6, 173, 68, 5, 8, 2, 6
2022/1/7, 148, 43, 141, 4, 2, 4
2022/1/8, 109, 41, , 4, 1, 4
2022/1/9, 99, 75, , 8, 3, 5
2022/1/10, 154, 70, 6, 8, 2, 4
2022/1/11, 148, 101, 7, 11, 2, 6
2022/1/12, 171, 122, 6, 12, 3, 9
2022/1/13, 197, 110, 4, 11, 2, 8
2022/1/14, 183, 89, 4, 5, 2, 5
2022/1/15, 159, 102, 4, 6, 1, 7
2022/1/16, 176, 153, 6, 11, 1, 8
2022/1/17, 215, 155, 4, 10, 1, 7
2022/1/18, 212, 152, 6, 8, 2, 7
2022/1/19, 206, 194, 7, 12, 2, 10
2022/1/20, 255, 151, 19, 14, 2, 10
2022/1/21, 222, 108, 6, 8, 2, 7
2022/1/22, 187, 81, 5, 5, 2, 7
2022/1/23, 163, 91, 4, 9, 2, 7
2022/1/24, 160, 96, 4, 8, 2, 7
2022/1/25, 155, 111, 6, 8, 1, 7
2022/1/26, 175, 111, 9, 11, 2, 6
2022/1/27, 171, 108, 11, 11, 3, 5
2022/1/28, 158, 144, 16, 16, 3, 6
2022/1/29, 177, 125, 232, 12, 4, 5
2022/1/30, 183, 160, 4, 14, 2, 9
2022/1/31, 232, 144, 7, 11, 3, 8
2021/10/1, 143, 80, 11, 6, 2, 6
2021/10/2, 146, 70, 10, 6, 2, 4
2021/10/3, 118, 73, 6, 4, 2, 4
2021/10/4, 91, 68, 17, 6, 2, 5
2021/10/5, 100, 72, 15, 6, 3, 5
2021/10/6, 124, 89, 22, 9, 2, 5
2021/10/7, 148, 117, 24, 11, 3, 6
2021/10/8, 155, 122, 20, 12, 3, 6
2021/10/9, 157, 114, 18, 11, 3, 7
2021/10/10, 150, 123, 14, 10, 3, 7
2021/10/11, 154, 123, 16, 11, 3, 7
2021/10/12, 150, 139, 23, 12, 3, 6
2021/10/13, 174, 122, 22, 14, 3, 6
2021/10/14, 163, 112, 28, 14, 3, 7
2021/10/15, 168, 186, 29, 18, 4, 10
2021/10/16, 222, 151, 6, 7, 2, 7
2021/10/17, 180, 47, 8, 3, 2, 4
2021/10/18, 33, 65, 17, 7, 2, 5
2021/10/19, 120, 129, 24, 14, 2, 7
2021/10/20, 179, 139, 20, 16, 3, 6
2021/10/21, 154, 102, 16, 11, 3, 5
2021/10/22, 132, 110, 22, 15, 3, 7
2021/10/23, 154, 102, 20, 12, 3, 6
2021/10/24, 158, 60, 20, 9, 3, 5
2021/10/25, 97, 107, 21, 14, 3, 6
2021/10/26, 146, 159, 24, 17, 3, 6
2021/10/27, 182, 193, 24, 19, 4, 8
2021/10/28, 195, 177, 23, 20, 5, 8
2021/10/29, 217, 147, 18, 17, 4, 6
2021/10/30, 198, 200, 18, 19, 6, 9
2021/10/31, 237, 217, 23, 22, 6, 10
2021/11/1, 230, 174, 21, 18, 5, 8
2021/11/2, 232, 201, 25, 21, 6, 10
2021/11/3, 279, 338, 16, 18, 4, 13
2021/11/4, 409, 371, 13, 14, 3, 12
2021/11/5, 460, 263, 18, 14, 5, 10
2021/11/6, 364, 321, 19, 20, 5, 10
2021/11/7, 376, 307, 21, 22, 7, 10
2021/11/8, 360, 397, 20, 28, 9, 12
2021/11/9, 396, 312, 23, 24, 8, 12
2021/11/10, 326, 527, 9, 32, 8, 18
2021/11/11, 430, 438, 16, 23, 4, 15
2021/11/12, 425, 228, 11, 26, 5, 11
2021/11/13, 224, 269, 20, 25, 6, 11
2021/11/14, 289, 295, 19, 27, 6, 13
2021/11/15, 319, 337, 21, 23, 7, 12
2021/11/16, 355, 270, 18, 22, 5, 12
2021/11/17, 305, 282, 19, 26, 9, 13
2021/11/18, 294, 280, 20, 27, 7, 12
2021/11/19, 313, 277, 21, 21, 7, 11
2021/11/20, 319, 171, 13, 17, 6, 9
2021/11/21, 230, 153, 17, 10, 6, 6
2021/11/22, 193, 235, 19, 23, 7, 11
