date, pm25, pm10, o3, no2, so2, co
2022/2/1, 290, 288, 20, 29, 8, 16
2022/2/2, 268, 149, 9, 17, 8, 15
2022/2/3, 219, 241, 13, 23, 10, 18
2022/2/4, 185, 387, 12, 32, 12, 17
2022/2/5, 255, 574, 16, 50, 12, 
2022/2/6, 329, 350, 29, 36, 10, 18
2022/2/7, 245, 404, 32, 40, 10, 19
2022/2/8, 258, 190, 11, 26, 10, 14
2022/2/9, 182, 321, 16, 33, 8, 15
2022/2/10, 171, 387, 19, 36, 9, 17
2022/2/11, 204, 300, 20, 43, 10, 18
2022/2/12, 174, 468, 26, 44, 9, 26
2022/2/13, 265, 408, 54, 39, 10, 18
2022/2/14, 236, , , , , 
2022/1/3, 405, 540, 30, 43, 10, 16
2022/1/4, 340, 386, 21, 27, 7, 14
2022/1/5, 407, 101, 5, 18, 4, 12
2022/1/6, 188, 79, 7, 15, 6, 18
2022/1/7, 154, 51, 6, 15, 3, 13
2022/1/8, 132, 50, 5, 17, 2, 13
2022/1/9, 128, 149, 8, 26, 7, 19
2022/1/10, 189, 210, 8, 27, 4, 24
2022/1/11, 228, 269, 11, 30, 6, 23
2022/1/12, 215, 444, 12, 38, 7, 22
2022/1/13, 331, 332, 6, 25, 7, 22
2022/1/14, 290, 239, 3, 21, 6, 19
2022/1/15, 260, 274, 7, 23, 5, 19
2022/1/16, 257, 331, 8, 27, 6, 15
2022/1/17, 306, 559, 3, 28, 6, 22
2022/1/18, 348, 547, 7, 33, 9, 11
2022/1/19, 351, 397, 7, 22, 9, 17
2022/1/20, 338, 367, 16, 28, 13, 10
2022/1/21, 301, 143, 4, 22, 6, 8
2022/1/22, 211, 158, 4, 19, 7, 13
2022/1/23, 227, 347, 4, 30, 9, 9
2022/1/24, 289, 460, 2, 23, 9, 18
2022/1/25, 286, 492, 3, 22, 9, 16
2022/1/26, 284, 571, 5, 32, 8, 20
2022/1/27, 276, 465, 10, 39, 9, 16
2022/1/28, 225, 552, 6, 44, 9, 17
2022/1/29, 271, 452, 8, 38, 10, 14
2022/1/30, 274, 517, 6, 31, 8, 
2022/1/31, 358, 510, 6, 41, 11, 19
2021/10/1, 158, 188, 15, 30, 10, 15
2021/10/2, 152, 196, 11, 25, 9, 15
2021/10/3, 157, 213, 45, 32, 13, 18
2021/10/4, 130, 150, 16, 30, 10, 15
2021/10/5, 138, 192, 4, 28, 7, 12
2021/10/6, 147, 216, 9, 32, 10, 13
2021/10/7, 148, 197, 12, 38, 10, 18
2021/10/8, 155, 205, 9, 43, 10, 22
2021/10/9, 157, 193, 63, 41, 12, 23
2021/10/10, 151, 196, 9, 39, 12, 28
