date, pm25, pm10, o3, no2, so2, co
2019/4/1, 135, , , 14, 11, 10
2019/4/2, 168, , , 13, 8, 10
2019/4/3, 157, , , 18, 13, 22
2019/4/4, 211, , , 18, 11, 21
2019/4/5, 189, , , 9, 1, 13
2019/4/6, 164, , , 10, 1, 16
2019/4/7, 231, , , 13, 2, 10
2019/4/8, 164, , , 13, 10, 16
2019/4/9, 165, , , , 7, 17
2019/4/10, 172, , , 12, 9, 10
2019/4/11, 149, , , 10, 9, 9
2019/4/12, 151, , , 12, 9, 8
2019/4/13, 132, , , , 11, 7
2019/4/14, 119, , , 10, 7, 9
2019/4/15, 122, , , 10, 4, 10
2019/4/16, 158, , , 9, 3, 7
2019/4/17, 84, , , 9, 6, 8
2019/4/18, 112, , , 10, 9, 10
2019/4/19, 138, , , 13, 10, 12
2019/4/20, 161, , , , 10, 18
2019/4/21, 170, , , , 16, 20
2019/4/22, 205, , , 14, 9, 25
2019/4/23, 181, , , 15, 7, 15
2019/4/24, 173, , , 14, 8, 13
2019/4/25, 173, , , 11, 11, 13
2019/4/26, 165, , , 7, 3, 14
2019/4/27, 153, , , , , 
2019/4/29, 164, , , 42, 15, 19
2019/4/30, 182, , , 45, 19, 21
2019/5/1, 189, , , 38, 10, 16
2019/5/2, 164, , , 36, 10, 15
2019/5/3, 139, , , 37, 7, 16
2019/5/4, 152, , , 42, 10, 19
2019/5/5, 171, , , 41, 9, 24
2019/5/6, 177, , , 51, 9, 27
2019/5/7, 185, , , 65, 9, 27
2019/5/8, 178, , , 41, 12, 20
2019/5/9, 198, , , , , 
2019/1/28, 170, , , 9, 3, 9
2019/1/29, 193, , , 12, , 16
2019/1/30, 252, , , 19, , 20
2019/1/31, 270, , , 10, , 11
2019/2/1, 224, , , 9, , 9
2019/2/2, 235, , , 9, , 9
2019/2/3, 195, , , 13, , 13
2019/2/4, 206, , , 21, , 29
2019/2/5, 294, , , 11, , 15
2019/2/6, 260, , , 8, , 7
2019/2/7, 154, , , 8, , 7
2019/2/8, 154, , , 7, , 6
2019/2/9, 159, , , 9, , 10
2019/2/10, 199, , , 11, , 16
