date, pm25, pm10, o3, no2, so2, co
2022/2/1, 284, 149, 37, 19, 3, 12
2022/2/2, 228, 122, 16, 16, 4, 12
2022/2/3, 216, 61, 22, 12, 4, 10
2022/2/4, 126, 98, 19, 16, 5, 14
2022/2/5, 177, 322, 31, 26, 2, 21
2022/2/6, 281, 186, 34, 25, 6, 13
2022/2/7, 198, 280, 39, 25, 4, 16
2022/2/8, 236, 129, 26, 16, 4, 18
2022/2/9, 171, 111, 31, 15, 6, 18
2022/2/10, 165, 136, 40, 20, 7, 17
2022/2/11, 173, 183, 37, 23, 7, 12
2022/2/12, 177, 237, 42, 29, 4, 17
2022/2/13, 206, 288, 36, 28, 8, 25
2022/2/14, 258, , , , , 
2022/1/3, 319, 287, 19, 28, 7, 18
2022/1/4, 301, 323, 16, 32, 8, 22
2022/1/5, 371, 104, 28, 21, 5, 14
2022/1/6, 201, 81, 33, 16, 5, 11
2022/1/7, 165, 49, 41, 12, 5, 8
2022/1/8, 138, 38, 40, 5, 7, 7
2022/1/9, 107, 85, 51, 13, 7, 11
2022/1/10, 181, 83, 57, 12, 7, 12
2022/1/11, 180, 118, 62, 17, 7, 13
2022/1/12, 200, 147, 65, 18, 8, 15
2022/1/13, 246, 158, 43, 18, 8, 14
2022/1/14, 252, 110, 41, 9, 5, 10
2022/1/15, 205, 93, 14, 7, 6, 9
2022/1/16, 183, 151, 24, 16, 6, 13
2022/1/17, 243, , , , , 
2022/1/20, 383, 225, 15, 24, 7, 19
2022/1/21, 294, 106, 9, 19, 3, 12
2022/1/22, 211, 82, 14, 13, 6, 10
2022/1/23, 178, 103, 10, 17, 5, 12
2022/1/24, 179, 119, 11, 14, 2, 12
2022/1/25, 188, 114, 19, 14, 3, 12
2022/1/26, 192, 133, 27, 21, 5, 12
2022/1/27, 190, 189, 38, 22, 6, 12
2022/1/28, 196, 148, 37, 23, 3, 11
2022/1/29, 198, 152, 39, 23, 5, 12
2022/1/30, 220, 306, 29, 33, 5, 19
2022/1/31, 335, 164, 25, 19, 2, 15
2021/10/1, 138, 102, 13, 11, 10, 6
2021/10/2, 137, 89, 10, 11, 10, 5
2021/10/3, 103, 101, 9, 12, 11, 5
2021/10/4, 82, 93, 20, 12, 11, 5
2021/10/5, 103, 85, 11, 8, 11, 5
2021/10/6, 124, 117, 19, 12, 11, 6
2021/10/7, 157, 153, 19, 15, 11, 7
2021/10/8, 160, 169, 23, 18, 12, 8
2021/10/9, 151, 184, 19, 17, 12, 10
2021/10/10, 150, 195, 18, 19, 12, 9
2021/10/11, 152, 247, 21, 18, 12, 8
2021/10/12, 156, 288, 30, 15, 13, 8
2021/10/13, 169, 258, 30, 22, 15, 8
2021/10/14, 170, 187, 32, 29, 15, 10
2021/10/15, 183, 276, 40, 29, 15, 11
2021/10/16, 223, 44, 8, 13, 12, 5
2021/10/17, 71, 26, 9, 14, 12, 4
2021/10/18, 47, 84, 20, 16, 13, 6
2021/10/19, 131, 191, 32, 27, 14, 10
2021/10/20, 186, 238, 25, 26, 14, 6
2021/10/21, 161, 202, 18, 25, 12, 9
2021/10/22, 138, 134, 25, 26, 6, 7
