date, pm25, pm10, o3, no2, so2, co
2022/2/1, 250, 172, 35, 17, 3, 8
2022/2/2, 227, 120, 18, 16, 2, 8
2022/2/3, 202, 74, 21, 11, 4, 8
2022/2/4, 134, 150, 20, 21, 3, 14
2022/2/5, 200, 172, 37, 24, 5, 8
2022/2/6, 220, 208, 37, 31, 5, 10
2022/2/7, 217, 249, 46, 29, 8, 10
2022/2/8, 258, 104, 26, 15, 3, 6
2022/2/9, 168, 108, 29, 16, 2, 7
2022/2/10, 164, 104, 33, 15, 3, 7
2022/2/11, 162, 109, 36, 18, 4, 6
2022/2/12, 169, 185, 49, 24, 4, 8
2022/2/13, 199, 340, 44, 32, 5, 11
2022/2/14, 306, , , , , 
2022/1/3, 314, 320, 24, 30, 10, 13
2022/1/4, 328, 318, 9, 28, 4, 11
2022/1/5, 359, 120, 16, 18, 4, 10
2022/1/6, 199, 97, 7, 21, 3, 9
2022/1/7, 167, 50, 8, 12, 3, 8
2022/1/8, 138, 49, 9, 6, 2, 8
2022/1/9, 116, 83, 18, 12, 6, 8
2022/1/10, 165, 75, 17, 10, 3, 7
2022/1/11, 160, 117, 20, 14, 3, 10
2022/1/12, 189, 184, 20, 20, 6, 11
2022/1/13, 236, 153, 10, 17, 4, 10
2022/1/14, 213, 97, 12, 5, 3, 7
2022/1/15, 167, 130, 14, 8, 3, 9
2022/1/16, 195, 175, 20, 17, 4, 10
2022/1/17, 227, 148, 6, 12, 3, 10
2022/1/18, 209, 219, 14, 14, 5, 11
2022/1/19, 240, 377, 15, 23, 13, 13
2022/1/20, 349, 258, 21, 26, 5, 13
2022/1/21, 280, 134, 8, 16, 3, 8
2022/1/22, 218, 99, 9, 11, 4, 10
2022/1/23, 184, 117, 10, 13, 3, 11
2022/1/24, 177, 108, 10, 11, 2, 7
2022/1/25, 169, 117, 16, 13, 2, 7
2022/1/26, 183, 113, 25, 18, 2, 6
2022/1/27, 183, 109, 31, 19, 3, 6
2022/1/28, 177, 120, 33, 23, 3, 6
2022/1/29, 189, 121, 33, 15, 5, 6
2022/1/30, 196, 214, 14, 26, 3, 12
2022/1/31, 278, 161, 17, 15, 2, 7
2021/10/1, 142, 97, 25, 12, 2, 11
2021/10/2, 143, 67, 25, 8, 2, 10
2021/10/3, 105, 79, 17, 11, 3, 7
2021/10/4, 97, 79, 31, 12, 3, 9
2021/10/5, 104, 80, 26, 10, 3, 10
2021/10/6, 124, 108, 32, 14, 3, 10
2021/10/7, 158, 132, 33, 17, 4, 11
2021/10/8, 162, 147, 28, 20, 5, 11
2021/10/9, 159, 120, 25, 17, 5, 11
2021/10/10, 150, 141, 21, 19, 5, 10
2021/10/11, 146, 138, 22, 17, 4, 12
2021/10/12, 148, 147, 40, 16, 4, 10
2021/10/13, 166, 121, 38, 18, 3, 10
2021/10/14, 156, 121, 41, 17, 3, 11
2021/10/15, 170, 229, 37, 29, 3, 11
2021/10/16, 227, 256, 16, 15, 2, 10
2021/10/17, 237, 59, 13, 10, 3, 10
2021/10/18, 64, 92, 29, 17, 1, 11
2021/10/19, 151, 125, 38, 21, 5, 10
2021/10/20, 184, 132, 37, 24, 6, 10
2021/10/21, 156, 132, 28, 22, 6, 10
2021/10/22, 146, 186, 18, 21, 5, 12
2021/10/23, 182, 130, 25, 1, 4, 10
2021/10/24, 168, 77, 32, 1, 3, 11
2021/10/25, 115, 103, 33, 14, 3, 9
2021/10/26, 151, 152, 40, 21, 6, 10
2021/10/27, 193, 147, 41, 19, 5, 11
2021/10/28, 206, 163, 48, 20, 5, 9
2021/10/29, 218, 151, 40, 16, 6, 10
2021/10/30, 202, 197, 40, 15, 8, 10
2021/10/31, 233, 283, 40, 36, 7, 10
2021/11/1, 242, 244, 34, 31, 7, 9
2021/11/2, 242, 280, 49, 34, 6, 9
2021/11/3, 270, 402, 36, 15, 4, 10
2021/11/4, 405, 421, 30, 10, 4, 10
2021/11/5, 451, 334, 42, 12, 7, 9
2021/11/6, 376, 344, 43, 15, 8, 9
2021/11/7, 367, 321, 49, 18, 10, 9
2021/11/8, 352, 358, 41, 23, 10, 10
2021/11/9, 368, 273, 50, 24, 11, 10
2021/11/10, 313, 446, 23, 29, 12, 10
2021/11/11, 419, 494, 37, 30, 7, 10
2021/11/12, 437, 344, 36, 29, 7, 10
2021/11/13, 342, 255, 51, 27, 8, 10
2021/11/14, 294, 272, 44, 28, 8, 10
2021/11/15, 306, 349, 47, 27, 9, 
2021/11/16, 356, 286, 43, 28, 7, 10
2021/11/17, 306, 297, 47, 38, 13, 10
2021/11/18, 301, 327, 49, 35, 9, 10
2021/11/19, 318, 284, 53, 29, 11, 9
2021/11/20, 316, 191, 49, 20, 6, 10
2021/11/21, 254, 144, 42, 13, 7, 9
2021/11/22, 187, 164, 48, 22, 8, 
2021/11/23, 223, 393, 79, 45, 10, 10
2021/11/24, 342, 447, 66, 48, 11, 
2021/11/25, 389, 344, 46, 37, 7, 10
2021/11/26, 315, 336, 42, 41, 6, 10
2021/11/27, 295, 506, 4, 31, 8, 6
2021/11/28, 431, , , , , 
2021/11/30, 233, 408, 22, 35, 13, 9
2021/12/1, 386, 265, 9, 20, 4, 10
2021/12/2, 339, 212, 10, 24, 4, 8
2021/12/3, 282, 190, 24, 17, 5, 7
2021/12/4, 270, 218, 20, 17, 7, 10
2021/12/5, 260, 158, 26, 10, 8, 7
2021/12/6, 198, 119, 24, 10, 3, 7
2021/12/7, 180, 122, 27, 10, 3, 8
2021/12/8, 189, 174, 30, 12, 6, 9
2021/12/9, 247, 145, 28, 11, 6, 8
2021/12/10, 215, 128, 34, 10, 6, 10
2021/12/11, 196, 172, 32, 13, 7, 12
2021/12/12, 230, 265, 23, 17, 5, 17
2021/12/13, 284, 322, 31, 24, 6, 12
2021/12/14, 322, 232, 35, 29, 8, 9
2021/12/15, 267, 254, 25, 29, 7, 9
2021/12/16, 287, 148, 31, 18, 3, 8
2021/12/17, 222, 122, 27, 16, 2, 9
2021/12/18, 188, 167, 24, 27, 4, 11
2021/12/19, 223, 221, 34, 28, 5, 13
2021/12/20, 271, 392, 38, 37, 7, 13
2021/12/21, 367, 384, 40, 35, 8, 14
2021/12/22, 359, 452, 29, 50, 8, 12
2021/12/23, 408, 469, 40, 39, 6, 15
2021/12/24, 411, 468, 30, 31, 8, 15
2021/12/25, 421, 489, 18, 27, 7, 10
2021/12/26, 450, 126, 24, 17, 6, 10
2021/12/27, 186, 152, 9, 27, 7, 5
2021/12/28, 216, 123, 22, 20, 5, 8
2021/12/29, 190, 155, 29, 23, 7, 9
2021/12/30, 205, 134, 31, 23, 5, 8
2021/12/31, 205, 203, 27, 28, 5, 11
2022/1/1, 292, 206, 33, 25, 5, 10
2022/1/2, 295, 246, 36, 28, 6, 11
2021/7/1, 118, 235, 24, 10, 4, 11
2021/7/2, 138, 92, 27, 11, 2, 10
2021/7/3, 97, 120, 50, 17, 8, 12
2021/7/4, 139, 123, 39, 11, 8, 11
2021/7/5, 143, 120, 40, 8, 5, 12
2021/7/6, 122, 149, 36, 13, 10, 13
2021/7/7, 142, 159, 29, 10, 7, 11
2021/7/8, 132, 92, 42, 13, 7, 13
2021/7/9, 119, 86, 34, 13, 5, 12
2021/7/10, 108, 83, 38, 10, 4, 12
2021/7/11, 116, 77, 29, 13, 5, 14
2021/7/12, 107, 68, 18, 11, 3, 14
2021/7/13, 81, 75, 21, 12, 4, 15
2021/7/14, 110, 86, 33, 9, 4, 10
2021/7/15, 118, 87, 39, 10, 4, 12
2021/7/16, 124, 96, 48, 13, 4, 14
2021/7/17, 145, 84, 41, 14, 2, 12
2021/7/18, 106, 33, 18, 10, 1, 18
2021/7/19, 48, 64, 22, 12, 1, 24
2021/7/20, 70, 73, 32, 13, 2, 18
2021/7/21, 97, 59, 24, 6, 2, 13
2021/7/22, 76, 73, 32, 12, 2, 12
2021/7/23, 102, 95, 35, 14, 3, 23
2021/7/24, 128, 86, 33, 11, 3, 10
2021/7/25, 108, 83, 46, 12, 2, 10
2021/7/26, 125, 67, 24, 11, 2, 11
2021/7/27, 107, 38, 17, 8, 1, 11
2021/7/28, 57, 56, 18, 8, 1, 10
2021/7/29, 72, 51, 21, 10, 1, 11
2021/7/30, 80, 72, 21, 10, 2, 13
2021/7/31, 81, 65, 17, 11, 1, 12
2021/8/1, 80, 81, 21, 13, 3, 14
2021/8/2, 120, 72, 17, 9, 2, 10
2021/8/3, 92, 68, 17, 10, 2, 11
2021/8/4, 78, 88, 20, 10, 4, 12
2021/8/5, 107, 88, 26, 10, 3, 11
2021/8/6, 115, 80, 20, 12, 4, 12
2021/8/7, 111, 63, 18, 11, 3, 12
2021/8/8, 100, 85, 28, 16, 3, 12
2021/8/9, 137, 103, 23, 11, 2, 10
2021/8/10, 106, 95, 17, 8, 2, 11
2021/8/11, 94, 104, 17, 10, 3, 11
2021/8/12, 96, 118, 17, 9, 2, 10
2021/8/13, 98, 120, 18, 7, 2, 12
2021/8/14, 98, 100, 20, 6, 3, 11
2021/8/15, 95, 134, 22, 8, 3, 7
2021/8/16, 112, 130, 27, 10, 2, 4
2021/8/17, 136, 131, 31, 13, 4, 5
2021/8/18, 150, 149, 34, 14, 4, 5
2021/8/19, 163, 77, 18, 7, 2, 2
2021/8/20, 95, 50, 23, 5, 2, 7
2021/8/21, 78, 54, 27, 9, 1, 4
2021/8/22, 105, 66, 37, 12, 1, 8
2021/8/23, 110, 76, 30, 11, 1, 16
2021/8/24, 128, 89, 23, 9, 1, 16
2021/8/25, 100, 90, 20, 7, 2, 33
2021/8/26, 85, 114, 23, 9, 2, 9
2021/8/27, 106, 102, 28, 11, 1, 13
2021/8/28, 119, 99, 30, 11, 2, 15
2021/8/29, 143, 59, 22, 5, 3, 15
2021/8/30, 88, 44, 17, 8, 1, 16
2021/8/31, 70, 51, 14, 7, 1, 11
2021/9/1, 76, 52, 23, 8, 1, 17
2021/9/2, 85, 57, 34, 10, 1, 11
2021/9/3, 80, 50, 28, 15, 1, 14
2021/9/4, 78, 91, 40, 16, 2, 13
2021/9/5, 145, 91, 35, 16, 2, 11
2021/9/6, 136, 84, 28, 12, 2, 11
2021/9/7, 131, 57, 20, 8, 1, 11
2021/9/8, 78, 68, 22, 10, 1, 11
2021/9/9, 92, 66, 21, 9, 1, 11
2021/9/10, 96, 40, 16, 7, 1, 10
2021/9/11, 59, 54, 32, 9, 2, 11
2021/9/12, 78, 99, 20, 9, 2, 11
2021/9/13, 92, 82, 22, 7, 3, 12
2021/9/14, 96, 73, 22, 12, 3, 11
2021/9/15, 80, 70, 16, 13, 2, 12
2021/9/16, 103, 76, 17, 7, 2, 10
2021/9/17, 88, 67, 21, 8, 2, 9
2021/9/18, 88, 75, 22, 13, 2, 8
2021/9/19, 106, 80, 31, 16, 1, 9
2021/9/20, 104, 88, 25, 14, 2, 9
2021/9/21, 121, 55, 20, 9, 1, 5
2021/9/22, 73, 61, 20, 12, 1, 6
2021/9/23, 78, 71, 23, 10, 3, 7
2021/9/24, 85, 64, 26, 7, 2, 14
2021/9/25, 80, 62, 25, 6, 2, 9
2021/9/26, 81, 109, 34, 12, 5, 9
2021/9/27, 146, 87, 26, 12, 3, 9
2021/9/28, 120, 80, 22, 14, 4, 12
2021/9/29, 110, 86, 32, 17, 2, 10
2021/9/30, 122, 106, 35, 18, 2, 10
2021/4/1, 157, 138, 30, 18, 17, 5
2021/4/2, 150, 148, 23, 22, 11, 6
2021/4/3, 148, 162, 37, 19, 16, 4
2021/4/4, 162, 166, 68, 22, 13, 6
2021/4/5, 157, 330, 72, 23, 18, 9
2021/4/6, 220, 164, 47, 11, 7, 4
2021/4/7, 148, 115, 42, 16, 9, 5
2021/4/8, 130, 146, 43, 20, 11, 4
2021/4/9, 138, 155, 45, 20, 15, 4
2021/4/10, 149, 180, 42, 19, 13, 4
2021/4/11, 157, 241, 49, 23, 15, 6
2021/4/12, 187, 214, 43, 21, 18, 5
2021/4/13, 174, 169, 38, 15, 11, 3
2021/4/14, 140, 225, 41, 19, 18, 5
2021/4/15, 178, 335, 11, 19, 7, 3
2021/4/16, 136, 96, 31, 9, 6, 3
2021/4/17, 118, 143, 43, 13, 14, 4
2021/4/18, 150, 181, 43, 17, 10, 5
2021/4/19, 144, 167, 41, 11, 10, 3
2021/4/20, 142, 107, 34, 4, 6, 2
2021/4/21, 131, 120, 48, 11, 8, 3
2021/4/22, 143, 132, 31, 7, 7, 4
2021/4/23, 145, 120, 46, 11, 6, 4
2021/4/24, 140, 172, 52, 15, 14, 5
2021/4/25, 175, 271, 67, 22, 22, 7
2021/4/26, 250, 367, 70, 26, 19, 9
2021/4/27, 290, 388, 63, 23, 21, 7
2021/4/28, 289, 376, 55, 18, 17, 7
2021/4/29, 253, 305, 55, 14, 16, 7
2021/4/30, 216, 179, 59, 14, 9, 5
2021/5/1, 169, 204, 48, 13, 12, 5
2021/5/2, 187, 257, 37, 11, 13, 4
2021/5/3, 195, 140, 33, 13, 9, 5
2021/5/4, 152, 136, 53, 10, 8, 6
2021/5/5, 161, 148, 38, 11, 7, 5
2021/5/6, 143, 96, 49, 13, 5, 4
2021/5/7, 133, 131, 68, 20, 8, 7
2021/5/8, 162, 108, 68, 10, 9, 5
2021/5/9, 147, 101, 37, 18, 5, 12
2021/5/10, 139, 122, 63, 11, 7, 5
2021/5/11, 155, 119, 39, 11, 5, 5
2021/5/12, 114, 84, 32, 7, 5, 5
2021/5/13, 123, 104, 44, 10, 7, 5
2021/5/14, 138, 171, 41, 11, 5, 5
2021/5/15, 121, 113, 70, 13, 11, 9
2021/5/16, 152, 153, 39, 25, 9, 8
2021/5/17, 179, 63, 19, 12, 3, 4
2021/5/18, 77, 59, 19, 4, 3, 4
2021/5/19, 111, 53, 32, 4, 2, 6
2021/5/20, 87, 43, 38, 6, 2, 5
2021/5/21, 72, 57, 41, 6, 4, 5
2021/5/22, 85, 360, 36, 5, 4, 3
2021/5/23, 187, 101, 46, 6, 5, 4
2021/5/24, 123, 103, 51, 8, 7, 4
2021/5/25, 116, 115, 49, 17, 9, 5
2021/5/26, 137, 123, 52, 15, 5, 5
2021/5/27, 131, 91, 34, 16, 3, 4
2021/5/28, 96, 75, 23, 14, 2, 4
2021/5/29, 60, 111, 29, 11, 2, 3
2021/5/30, 71, 124, 27, 17, 8, 5
2021/5/31, 125, 101, 29, 9, 2, 3
2021/6/1, 78, 93, 32, 13, 5, 4
2021/6/2, 124, 126, 49, 13, 7, 4
2021/6/3, 159, 126, 39, 11, 6, 3
