date, pm25, pm10, o3, no2, so2, co
2022/2/1, 273, 165, 21, 34, 7, 19
2022/2/2, 244, 133, 6, 29, 5, 20
2022/2/3, 220, 80, 10, 24, 5, 15
2022/2/4, 142, 172, 12, 33, 5, 24
2022/2/5, 221, 264, 15, 34, 6, 29
2022/2/6, 294, 148, 18, 39, 8, 14
2022/2/7, 190, 217, 9, 42, , 24
2022/2/8, 225, 146, 6, 36, 6, 12
2022/2/9, 188, 112, 23, 28, , 14
2022/2/10, 160, 115, 19, 29, , 19
2022/2/11, 162, 124, 42, 27, 8, 16
2022/2/12, 165, 203, 25, 31, 8, 25
2022/2/13, 207, 176, 45, 29, 6, 19
2022/2/14, 154, , , , , 
2022/1/3, 347, 283, 3, 26, 10, 13
2022/1/4, 323, 328, 12, 28, 7, 11
2022/1/5, 376, 109, 2, 21, 6, 4
2022/1/6, 194, 84, 2, 18, 7, 2
2022/1/7, 165, 53, 2, 17, 7, 1
2022/1/8, 137, 53, 3, 14, 7, 1
2022/1/9, 132, 98, 7, 16, 7, 3
2022/1/10, 184, 97, 8, 15, 7, 8
2022/1/11, 177, 136, 4, 16, 10, 11
2022/1/12, 207, 256, 3, 21, 7, 14
2022/1/13, 303, 231, 3, 21, 7, 
2022/1/14, 292, 127, 7, 13, 4, 25
2022/1/15, 210, 186, 10, 16, 6, 15
2022/1/16, 255, 241, 10, 25, 9, 13
2022/1/17, 286, 186, 10, 24, 6, 15
2022/1/18, 269, 238, 8, 29, 5, 17
2022/1/19, 285, 357, 6, 35, 7, 19
2022/1/20, 360, 229, 12, 35, 5, 22
2022/1/21, 284, 121, 6, 28, 7, 13
2022/1/22, 208, 110, 8, 21, 12, 12
2022/1/23, 199, 133, 5, 25, 9, 15
2022/1/24, 192, 145, 5, 23, 9, 29
2022/1/25, 201, 146, 11, 23, 19, 20
2022/1/26, 216, 136, 18, 28, 7, 22
2022/1/27, 205, 133, 24, 31, 10, 13
2022/1/28, 187, 162, 16, 33, 12, 17
2022/1/29, 214, 154, 24, 31, , 13
2022/1/30, 218, 276, 10, 38, 4, 22
2022/1/31, 321, 184, 8, 39, 2, 18
2021/10/1, 126, 86, 35, 14, 8, 2
2021/10/2, 148, 73, 23, 8, 9, 2
2021/10/3, 119, 64, 28, 11, 8, 2
2021/10/4, 90, 84, 76, 14, 8, 3
2021/10/5, 119, 80, 35, 12, 8, 3
2021/10/6, 133, 97, 58, 15, 9, 3
2021/10/7, 152, 119, 66, 19, 6, 4
2021/10/8, 156, 122, 48, 20, 9, 3
2021/10/9, 154, 119, 42, 23, 9, 3
2021/10/10, 149, 116, 34, 23, 9, 3
2021/10/11, 148, 108, 39, 24, 8, 4
2021/10/12, 158, 105, 55, 19, 7, 3
2021/10/13, 162, 106, 63, 21, 10, 3
2021/10/14, 166, 111, 93, 26, 10, 3
2021/10/15, 173, 164, 47, 34, 11, 6
2021/10/16, 229, 166, 6, 20, 7, 5
