date, pm25, pm10, o3, no2, so2, co
2022/2/1, 297, 168, 22, 27, 2, 10
2022/2/2, 233, 122, 15, 17, 3, 10
2022/2/3, 204, 97, 7, 23, 2, 12
2022/2/4, 140, 112, 1, 13, 2, 15
2022/2/5, 185, 135, 18, 32, 2, 12
2022/2/6, 188, 122, 13, 37, 2, 11
2022/2/7, 169, 133, 25, 27, 2, 13
2022/2/8, 179, 104, 20, 21, 2, 12
2022/2/9, 160, 173, 11, 30, 2, 12
2022/2/10, 170, 162, 16, 32, 3, 12
2022/2/11, 171, 133, 14, 32, 3, 10
2022/2/12, 165, 126, 19, 31, 3, 12
2022/2/13, 170, 106, 13, 31, 2, 10
2022/2/14, 144, , , , , 
2022/1/3, 301, 221, 7, 37, 3, 8
2022/1/4, 254, 218, 9, 27, 1, 10
2022/1/5, 286, 104, 13, 20, 1, 9
2022/1/6, 180, 85, 12, 18, 1, 8
2022/1/7, 146, 45, 9, 14, 1, 7
2022/1/8, 109, 60, 6, 19, 1, 8
2022/1/9, 135, 140, 4, 22, 1, 16
2022/1/10, 187, 142, 6, 24, 2, 12
2022/1/11, 184, 147, 9, 26, 3, 13
2022/1/12, 189, 210, 13, 28, 2, 15
2022/1/13, 255, 208, 6, 25, 3, 14
2022/1/14, 244, 153, 4, 22, 2, 9
2022/1/15, 207, 149, 10, 23, 2, 11
2022/1/16, 222, 176, 21, 22, 2, 9
2022/1/17, 234, 206, 3, 27, 3, 16
2022/1/18, 246, 219, 8, 27, 2, 14
2022/1/19, 247, 260, 13, 23, 2, 14
2022/1/20, 284, 164, 17, 25, 2, 12
2022/1/21, 220, 109, 10, 15, 1, 8
2022/1/22, 192, 135, 9, 18, 2, 13
2022/1/23, 196, 142, 4, 22, 2, 14
2022/1/24, 191, 175, 1, 22, 2, 15
2022/1/25, 194, 160, 7, 22, 2, 13
2022/1/26, 210, 151, , 18, 2, 9
2022/1/27, 220, 221, 6, 32, 2, 21
2022/1/28, 218, 171, 8, 31, 2, 15
2022/1/29, 198, 209, 15, 33, 3, 13
2022/1/30, 232, 195, 18, 27, 2, 12
2022/1/31, 265, 289, 5, 43, 2, 14
2021/10/1, 111, 89, 4, 8, 3, 11
2021/10/2, 133, 85, 4, 5, 2, 10
2021/10/3, 110, 82, 5, 6, 3, 12
2021/10/4, 80, 77, 19, 6, 3, 11
2021/10/5, 111, 99, 7, 4, 4, 10
2021/10/6, 135, 104, 8, 6, 4, 10
2021/10/7, 153, 110, 7, 15, 4, 16
2021/10/8, 153, 99, 6, 6, 4, 13
2021/10/9, 144, 97, 5, 5, 4, 11
2021/10/10, 134, 95, 6, 6, 3, 13
2021/10/11, 132, 101, 6, 6, 4, 17
2021/10/12, 145, 101, 12, 13, 5, 12
2021/10/13, 161, 95, 17, 9, 6, 14
2021/10/14, 159, 87, 24, 11, 5, 13
2021/10/15, 167, 101, 49, 14, 4, 18
2021/10/16, 209, 48, 7, 5, 4, 8
2021/10/17, 94, 18, 10, 6, 4, 9
2021/10/18, 53, 10, 10, 12, 4, 13
2021/10/19, 130, 119, 12, 14, 3, 15
2021/10/20, 176, 106, 12, 12, 3, 14
2021/10/21, 159, 107, 9, 10, 1, 12
2021/10/22, 121, 92, 16, 10, 2, 10
2021/10/23, 127, 83, 23, 9, 1, 7
2021/10/24, 140, 87, 14, 9, 2, 15
2021/10/25, 121, 118, 12, 11, 2, 15
2021/10/26, 155, 120, 13, 11, 3, 19
2021/10/27, 181, , 18, 16, 2, 15
2021/10/28, 194, 121, 7, 35, 5, 20
2021/10/29, 189, 118, 9, 34, 4, 16
2021/10/30, 183, , 17, 36, 5, 14
2021/10/31, 205, 107, 35, 34, 4, 14
2021/11/1, 177, , 28, 36, 3, 12
