date, pm25, pm10, o3, no2, so2, co
2022/2/1, 267, 147, 48, 17, 7, 11
2022/2/2, 229, 131, 23, 13, 6, 11
2022/2/3, 215, 84, 29, 13, 7, 8
2022/2/4, 146, 157, 31, 17, 10, 12
2022/2/5, 226, 145, 42, 13, 9, 14
2022/2/6, 231, 160, 41, 22, 6, 8
2022/2/7, 190, 163, 42, 20, 7, 11
2022/2/8, 213, 127, 25, 18, 8, 6
2022/2/9, 188, 101, 40, 16, 6, 5
2022/2/10, 159, 113, 48, 20, 8, 5
2022/2/11, 166, 125, 52, 20, 9, 6
2022/2/12, 179, 150, 47, 17, 7, 10
2022/2/13, 203, 118, 53, 14, 5, 8
2022/2/14, 172, , , , , 
2022/1/3, 314, 208, 22, 29, 13, 17
2022/1/4, 301, 182, 9, 23, 10, 16
2022/1/5, 327, 90, 18, 15, 5, 10
2022/1/6, 194, 69, 20, 11, 4, 7
2022/1/7, 159, 53, 17, 12, 4, 5
2022/1/8, 135, 59, 10, 11, 4, 6
2022/1/9, 122, 97, 29, 16, 6, 8
2022/1/10, 178, 95, 31, 14, 6, 10
2022/1/11, 175, 128, 29, 16, 8, 14
2022/1/12, 207, 261, 21, 24, 9, 29
2022/1/13, 322, 212, 17, 19, 9, 20
2022/1/14, 290, 131, 15, 12, 5, 9
2022/1/15, 211, 139, 24, 14, 6, 9
2022/1/16, 212, 154, 24, 16, 6, 11
2022/1/17, 224, 172, 24, 15, 6, 12
2022/1/18, 260, 210, 27, 19, 7, 16
2022/1/19, 259, 252, 23, 16, 6, 18
2022/1/20, 318, 195, 32, 17, 7, 21
2022/1/21, 270, 115, 16, 13, 6, 9
2022/1/22, 202, 125, 17, 10, 7, 18
2022/1/23, 211, 139, 14, 16, 6, 21
2022/1/24, 153, 148, 14, 12, 7, 19
2022/1/25, 252, 136, 30, 14, 6, 15
2022/1/26, 204, 115, 37, 19, 6, 9
2022/1/27, 186, 110, 44, 21, 6, 10
2022/1/28, 178, 159, 48, 22, 7, 19
2022/1/29, 217, 137, 46, 19, 7, 11
2022/1/30, 214, 203, 32, 21, 6, 21
2022/1/31, 289, 170, 32, 24, 6, 13
2021/10/1, 117, 72, 39, 13, 6, 5
2021/10/2, 94, 59, 30, 10, 4, 3
2021/10/3, 86, 58, 29, 11, 4, 8
2021/10/4, 87, 70, 39, 13, 3, 5
2021/10/5, 106, 70, 39, 14, 3, 4
2021/10/6, 127, 91, 39, 17, 3, 6
2021/10/7, 152, 118, 42, 21, 6, 11
2021/10/8, 118, 115, 37, 20, 4, 10
2021/10/9, 101, 105, 40, 16, 2, 11
2021/10/10, 100, 99, 33, 18, 4, 13
2021/10/11, 91, 105, 33, 20, 2, 6
2021/10/12, 92, 108, 41, 17, 1, 2
2021/10/13, 101, 112, 34, 27, 3, 8
2021/10/14, 142, 130, 38, 25, 4, 5
2021/10/15, 170, 169, 32, 33, 5, 7
2021/10/16, 155, 107, 16, 21, 1, 3
2021/10/17, 107, 29, 11, 12, 1, 2
2021/10/18, 49, 64, 32, 16, 2, 3
2021/10/19, 77, 110, 33, 23, 3, 5
2021/10/20, 108, 111, 30, 23, 3, 3
2021/10/21, 114, 89, 35, 18, 4, 5
2021/10/22, 115, 89, 31, 17, 2, 4
2021/10/23, 84, 80, 27, 15, 3, 3
2021/10/24, 73, 64, 35, 19, 4, 3
2021/10/25, 89, 95, 28, 17, 4, 5
2021/10/26, 157, 123, 31, 27, 3, 4
2021/10/27, 175, 130, 34, 24, 4, 5
2021/10/28, 133, 135, 28, 30, 5, 6
2021/10/29, 117, 122, 28, 29, 2, 4
2021/10/30, 103, 149, 33, 24, 6, 6
2021/10/31, 185, 148, 21, 26, 6, 10
2021/11/1, 202, 123, 35, 24, 8, 6
2021/11/2, 196, 123, 58, 26, 6, 14
2021/11/3, 171, 238, 60, 24, 12, 7
2021/11/4, 283, 319, 31, 23, 22, 7
2021/11/5, 395, 200, 48, 32, 12, 6
2021/11/6, 172, 181, 62, 28, 9, 6
2021/11/7, 202, 211, 61, 36, 7, 6
2021/11/8, 259, 235, 55, 34, 9, 8
2021/11/9, 259, 216, 70, 37, 8, 7
2021/11/10, 260, 270, 8, 37, 5, 8
2021/11/11, 310, 413, 40, 35, 4, 10
2021/11/12, 247, 256, 43, 37, 4, 8
2021/11/13, 184, 164, 50, 33, 6, 11
2021/11/14, 198, 176, 47, 39, 7, 8
2021/11/15, 221, 218, 59, 36, 8, 7
2021/11/16, 279, 187, 40, 35, 5, 10
2021/11/17, 282, 190, 40, 38, 4, 12
2021/11/18, 282, 183, 54, 37, 8, 10
2021/11/19, 296, 195, 60, 39, 8, 8
2021/11/20, 296, 159, 56, 32, 4, 
2021/11/21, 267, 150, 48, 28, 7, 17
2021/11/22, 206, 173, 50, 26, 7, 5
2021/11/23, 235, 201, 36, 33, 5, 
2021/11/24, 293, 183, 44, 30, 4, 31
2021/11/25, 351, , 40, 46, 14, 22
2021/11/28, 352, , 50, 31, 8, 6
2021/11/29, 299, , 51, 29, 6, 5
2021/11/30, 253, , 13, 39, 6, 7
2021/12/1, 301, , 11, 27, 4, 2
2021/12/2, 355, , 23, 24, 5, 6
2021/12/3, 268, , 39, 23, 10, 13
2021/12/4, 253, , 27, 26, 13, 14
2021/12/5, 243, , 37, 25, 10, 13
2021/12/6, 245, , 32, 22, 7, 5
2021/12/7, 190, , 39, 27, 10, 8
2021/12/8, 189, , 37, 32, 11, 7
2021/12/9, 225, , 38, 30, 10, 3
2021/12/10, 213, , 41, 26, 10, 9
2021/12/11, 192, , 38, 28, 10, 15
2021/12/12, 231, , 35, 21, 8, 17
2021/12/13, 277, , 28, 24, 8, 15
2021/12/14, 320, , 38, 24, 8, 15
2021/12/15, 280, , 20, 30, 9, 16
2021/12/16, 290, , 38, 22, 7, 12
2021/12/17, 224, , 33, 22, 7, 2
2021/12/18, 202, , 43, 24, 8, 4
2021/12/19, 216, , 44, 28, 9, 12
2021/12/20, 284, , 36, 33, 11, 17
2021/12/21, 368, 482, 28, 33, 11, 20
2021/12/22, 390, 354, 35, 28, 10, 16
2021/12/23, 413, 328, 29, 22, 9, 11
2021/12/24, 400, 382, 24, 27, 11, 12
2021/12/25, 451, 315, 14, 25, 8, 3
2021/12/26, 430, 151, 21, 19, 8, 9
2021/12/27, 249, 123, 5, 23, 7, 3
2021/12/28, 226, 176, 20, 19, 9, 
2021/12/29, 260, 184, 21, 23, 15, 27
2021/12/30, 267, 188, 29, 25, 17, 14
2021/12/31, 286, 209, 31, 27, 16, 14
2022/1/1, 325, 196, 37, 25, 16, 14
2022/1/2, 331, 212, 39, 26, 15, 15
2021/7/1, 153, 136, 25, 10, 8, 15
2021/7/2, 147, 87, 10, 11, 8, 15
2021/7/3, 118, 97, 13, 16, 10, 17
2021/7/4, 129, 94, 13, 12, 9, 16
2021/7/5, 130, 99, 39, 12, 7, 14
2021/7/6, 142, 103, 31, 14, 7, 16
2021/7/7, 136, 142, 30, 13, 6, 17
2021/7/8, 142, 82, 68, 10, 7, 14
2021/7/9, 117, 72, 42, 9, 7, 13
2021/7/10, 104, 73, 35, 5, 9, 18
2021/7/11, 120, 64, 28, 6, 7, 22
2021/7/12, 102, 52, 12, 21, 8, 21
2021/7/13, 61, 43, 15, 18, 6, 31
2021/7/14, 77, 70, 38, 13, 6, 40
2021/7/15, 115, 88, 42, 13, 6, 31
2021/7/16, 124, 74, 64, 11, 6, 35
2021/7/17, 116, 60, 35, 9, 6, 33
2021/7/18, 88, 14, 29, 10, 7, 21
2021/7/19, 55, 48, 29, 15, 7, 27
2021/7/20, 79, 60, 33, 14, 6, 30
2021/7/21, 103, 48, 28, 10, 5, 18
2021/7/22, 68, 47, 25, 10, 5, 15
2021/7/23, 81, 65, 17, 14, 5, 6
2021/7/24, 108, 68, 22, 11, 4, 4
2021/7/25, 100, 71, 23, 10, 4, 5
2021/7/26, 107, 45, 14, 9, 2, 4
2021/7/27, 81, 26, 13, 9, 3, 2
2021/7/28, 49, 41, 25, 13, 3, 4
2021/7/29, 61, 38, 21, 14, 3, 4
2021/7/30, 77, 37, 27, 9, 4, 6
2021/7/31, 80, 36, 28, 15, 5, 7
2021/8/1, 71, 55, 23, 15, 4, 7
2021/8/2, 99, 60, 26, 2, 3, 3
2021/8/3, 89, 50, 28, 4, 4, 4
2021/8/4, 76, 60, 29, 3, 6, 4
2021/8/5, 113, 61, 29, 4, 4, 5
2021/8/6, 126, 45, 12, 3, 4, 5
2021/8/7, 106, 48, 11, 3, 5, 5
2021/8/8, 99, 56, 19, 2, 4, 4
2021/8/9, 119, 59, 21, 2, 5, 5
2021/8/10, 130, 59, 23, 4, 5, 4
2021/8/11, 112, 58, 27, 4, 4, 5
2021/8/12, 114, 77, 28, 3, 4, 6
2021/8/13, 117, 81, 30, 3, 4, 6
2021/8/14, 101, 84, 34, 3, 5, 7
2021/8/15, 113, 88, 34, 2, 5, 7
2021/8/16, 129, 101, 31, 2, 5, 8
2021/8/17, 130, 103, 37, 2, 5, 9
2021/8/18, 140, 111, 30, 3, 5, 8
2021/8/19, 161, 59, 16, 1, 5, 7
2021/8/20, 91, 39, 15, 1, 4, 5
2021/8/21, 81, 52, 21, , 4, 8
2021/8/22, 81, 49, 23, 1, 4, 6
2021/8/23, 84, 64, 18, 1, 4, 8
2021/8/24, 94, 73, 18, 1, 4, 7
2021/8/25, 104, 81, 19, 3, 3, 8
2021/8/26, 106, 103, 32, 13, 4, 7
2021/8/27, 128, 108, 34, 3, 3, 4
2021/8/28, 130, 80, 29, , 3, 3
2021/8/29, 127, 53, 31, 1, 5, 2
2021/8/30, 76, 40, 14, , 3, 3
2021/8/31, 50, 36, 13, 2, 4, 4
2021/9/1, 55, 48, 25, 1, 4, 6
2021/9/2, 68, 44, 24, 2, 4, 3
2021/9/3, 78, 47, 16, 2, 4, 5
2021/9/4, 79, 55, 30, 2, 4, 7
2021/9/5, 103, 67, 20, 1, 6, 6
2021/9/6, 137, 64, 38, 1, 5, 5
2021/9/7, 87, 50, 25, 1, 4, 2
2021/9/8, 81, 61, 26, 1, 5, 3
2021/9/9, 81, 48, 21, 2, 5, 3
2021/9/10, 80, 22, 18, 2, 4, 2
2021/9/11, 50, 48, 14, , 6, 9
2021/9/12, 34, 58, 26, 1, 7, 4
2021/9/13, 76, 68, 24, 3, 8, 3
2021/9/14, 80, 46, 25, 3, 6, 6
2021/9/15, 76, 42, 14, 1, 4, 3
2021/9/16, 95, 54, 20, 2, 4, 3
2021/9/17, 65, 63, 25, 4, 5, 3
2021/9/18, 129, 55, 29, 1, 4, 3
2021/9/19, 82, 56, 32, 1, 5, 4
2021/9/20, 75, 59, 29, 1, 4, 2
2021/9/21, 60, 54, 25, 1, 4, 2
2021/9/22, 56, 58, 28, 1, 4, 2
2021/9/23, 61, 55, 24, 2, 5, 3
2021/9/24, 58, 75, 31, 2, 4, 4
2021/9/25, 89, 62, 32, 1, 4, 3
2021/9/26, 99, 76, 35, 2, 5, 5
2021/9/27, 134, 75, 28, 3, 4, 2
2021/9/28, 123, 58, 29, 1, 4, 3
2021/9/29, 94, 57, 30, 7, 5, 4
2021/9/30, 108, 66, 30, 15, 6, 6
2021/4/1, 120, 238, 53, 17, 20, 11
2021/4/2, 137, 129, 55, 28, 15, 18
2021/4/3, 142, 138, 47, 26, 12, 14
2021/4/4, 146, 197, 50, 41, 12, 18
2021/4/5, 161, 201, 91, 34, 14, 13
2021/4/6, 181, 184, 51, 18, 11, 12
2021/4/7, 146, 103, 47, 21, 12, 15
2021/4/8, 122, 143, 42, 26, 11, 16
2021/4/9, 134, 125, 46, 28, 10, 14
2021/4/10, 139, 151, 50, 26, 14, 17
