date, pm25, pm10, o3, no2, so2, co
2022/2/1, 252, 162, 31, 14, 6, 12
2022/2/2, 233, 119, 15, 10, 5, 12
2022/2/3, 202, 75, 15, 9, 4, 11
2022/2/4, 140, 142, 17, 17, 4, 15
2022/2/5, 206, 277, 22, 23, 5, 34
2022/2/6, 298, 163, 27, 23, 4, 17
2022/2/7, 204, 206, 25, 23, 6, 23
2022/2/8, 225, 123, 16, 17, 5, 7
2022/2/9, 174, 113, 11, 11, 7, 
2022/2/10, 149, 115, 26, 18, 5, 
2022/2/11, 153, 118, 27, 19, 4, 
2022/2/12, 170, 183, 32, 22, 4, 
2022/2/13, 214, 167, 28, 20, 2, 
2022/2/14, 188, , , , , 
2022/1/3, 329, 269, 12, 23, 6, 16
2022/1/4, 316, 238, 9, 22, 4, 16
2022/1/5, 321, 100, 10, 12, 4, 14
2022/1/6, 187, 79, 11, 8, 4, 9
2022/1/7, 165, 50, 6, 9, 4, 12
2022/1/8, 129, 44, 4, 8, 3, 9
2022/1/9, 119, 89, 13, 11, 7, 11
2022/1/10, 174, 93, 13, 11, 5, 9
2022/1/11, 175, 172, 18, 15, 6, 18
2022/1/12, 226, 210, 12, 18, 5, 18
2022/1/13, 264, 159, 7, 15, 5, 12
2022/1/14, 225, 110, 7, 10, 3, 11
2022/1/15, 190, 130, 15, 10, 3, 11
2022/1/16, 223, 209, 13, 15, 4, 14
2022/1/17, 268, 164, 9, 12, 5, 10
2022/1/18, 238, 196, 12, 13, 5, 14
2022/1/19, 238, 310, 11, 16, 7, 22
2022/1/20, 333, 221, 17, 18, 5, 18
2022/1/21, 267, 113, 10, 12, 5, 11
2022/1/22, 198, 101, 9, 8, 5, 15
2022/1/23, 196, 127, 7, 12, 5, 15
2022/1/24, 208, 130, 6, 11, 4, 14
2022/1/25, 193, 131, 13, 12, 4, 11
2022/1/26, 208, 118, 19, 15, 5, 11
2022/1/27, 198, 158, 20, 19, 6, 13
2022/1/28, 195, 128, 23, 20, 5, 12
2022/1/29, 193, 136, 25, 17, 8, 11
2022/1/30, 212, 232, 11, 19, 6, 18
2022/1/31, 288, 171, 13, 19, 3, 10
2021/10/1, 128, 90, 27, 8, 8, 11
2021/10/2, 146, 72, 21, 5, 6, 11
2021/10/3, 112, 73, 25, 5, 7, 12
2021/10/4, 78, 83, 54, 7, 10, 10
2021/10/5, 112, 81, 32, 6, 10, 9
2021/10/6, 132, 86, 52, 6, 10, 11
2021/10/7, 148, 128, 52, 7, 12, 14
2021/10/8, 149, 137, 50, 9, 9, 13
2021/10/9, 149, 131, 45, 7, 11, 16
2021/10/10, 147, 114, 36, 9, 9, 14
2021/10/11, 136, 131, 41, 8, 10, 15
2021/10/12, 146, 145, 54, 8, 13, 10
2021/10/13, 160, 121, 55, 10, 14, 11
2021/10/14, 153, 128, 79, 10, 13, 14
2021/10/15, 167, 225, 95, 14, 16, 15
2021/10/16, 202, 146, 15, 7, 8, 11
2021/10/17, 94, 21, 16, 4, 4, 8
2021/10/18, 42, 76, 29, 7, 7, 10
2021/10/19, 120, 133, 44, 9, 10, 14
2021/10/20, 174, 143, 41, 9, 8, 12
2021/10/21, 152, 121, 36, 12, 10, 16
2021/10/22, 121, 114, 4, 12, 9, 14
2021/10/23, 140, 103, 42, 11, 9, 8
2021/10/24, 158, 81, 34, 9, 10, 13
2021/10/25, 122, 96, 39, 11, 9, 10
2021/10/26, 143, 151, 42, 14, 9, 11
2021/10/27, 188, 159, 27, 16, 7, 16
2021/10/28, 191, 196, 33, 25, 8, 15
2021/10/29, 197, 147, 27, 19, 7, 12
2021/10/30, 183, 198, 30, 14, 7, 20
2021/10/31, 194, 182, 33, 47, 6, 22
2021/11/1, 201, 164, 33, 21, 5, 17
2021/11/2, 199, 214, 38, 28, 5, 25
2021/11/3, 231, 416, 33, 28, 7, 20
2021/11/4, 402, 470, 23, 17, 11, 19
2021/11/5, 474, 336, 29, 14, 7, 17
2021/11/6, 362, 338, 34, 17, 6, 18
2021/11/7, 344, 316, 34, 21, 8, 18
2021/11/8, 335, 347, 38, 22, 10, 22
2021/11/9, 347, 297, 45, 35, 9, 33
2021/11/10, 284, 456, 11, 56, 6, 33
2021/11/11, 389, 552, 23, 47, 6, 32
2021/11/12, 456, 362, 23, 48, 7, 29
2021/11/13, 321, 296, 33, 47, 8, 28
2021/11/14, 282, 303, 28, 51, 7, 20
2021/11/15, 300, 331, 33, 27, 8, 19
2021/11/16, 335, 273, 34, 27, 6, 10
2021/11/17, 309, 302, 35, 53, 9, 18
2021/11/18, 295, 294, 34, 50, 12, 22
2021/11/19, 310, 270, 33, 44, 8, 21
