date, pm25, pm10, o3, no2, so2, co
2018/4/1, 142, , , , , 
2018/4/2, 155, , , , , 
2018/4/3, 164, , , , , 
2018/4/4, 166, , , , , 
2018/4/5, 218, , , , , 
2018/4/6, 174, , , , , 
2018/4/12, 106, 137, 38, 3, 2, 
2018/4/13, 132, 173, 32, 3, 4, 
2018/4/14, 147, 197, 54, 3, 4, 
2018/4/15, 166, 227, 25, 3, 3, 
2018/4/16, 183, 235, 3, 3, 2, 
2018/4/17, 196, 200, 34, 3, 4, 
2018/4/18, 134, 197, 7, 3, 6, 
2018/4/19, 170, , , , , 
2018/1/1, 372, , , 49, , 
2018/1/2, 388, , , 45, , 
2018/1/3, 289, , , 37, , 
2018/1/4, 302, , , 30, , 
2018/1/5, 315, , , 56, , 
2018/1/6, 299, , , 34, , 
2018/1/7, 276, , , 40, , 
2018/1/8, 204, , , 54, , 
2018/1/9, 279, , , 37, , 
2018/1/10, 285, , , 27, , 
2018/1/11, 195, , , 42, , 
2018/1/12, 252, , , 73, , 
2018/1/13, 257, , , 46, , 
2018/1/14, 239, , , 51, , 
2018/1/15, 281, , , 12, , 
2018/1/16, 261, , , 9, , 
2018/1/17, 307, , , 9, , 
2018/1/18, 305, , , 10, , 
2018/1/19, 320, , , , , 
2018/1/22, 231, , , 7, , 
2018/1/23, 243, , , 7, , 
2018/1/24, 219, , , 6, , 
2018/1/25, 191, , , 8, , 
2018/1/26, 234, , , , , 
2018/1/29, 189, , , 6, , 
2018/1/30, 200, , , 17, , 
2018/1/31, 209, , , 32, , 
2018/2/1, 193, , , 36, , 
2018/2/2, 208, , , 33, , 
2018/2/3, 180, , , 26, , 
2018/2/4, 196, , , 34, , 
2018/2/5, 214, , , 32, , 
2018/2/6, 203, , , 28, , 
2018/2/7, 191, , , 44, , 
2018/2/8, 239, , , 42, , 
2018/2/9, 282, , , , , 
2018/2/13, 172, , , 17, , 
2018/2/14, 146, , , 18, , 
2018/2/15, 159, , , 22, , 
2018/2/16, 194, , , 23, , 
2018/2/17, 183, , , 23, , 
2018/2/18, 182, , , 33, , 
