date, pm25, pm10, o3, no2, so2, co
2022/2/1, 225, 184, 36, 21, 7, 7
2022/2/2, 212, 127, 13, 17, 6, 6
2022/2/3, 193, 65, 16, 11, 3, 6
2022/2/4, 116, 89, 20, 16, 4, 7
2022/2/5, 154, 151, 28, 31, 6, 7
2022/2/6, 183, 252, 95, 30, 6, 15
2022/2/7, 222, 202, 4, 26, 6, 12
2022/2/8, 200, 106, 20, 16, 6, 6
2022/2/9, 163, 130, 23, 18, 4, 6
2022/2/10, 154, 112, 25, 20, 6, 4
2022/2/11, 147, 143, 26, 24, 6, 6
2022/2/12, 154, 225, 34, 28, 5, 13
2022/2/13, 197, 159, 27, 30, 4, 10
2022/2/14, 170, , , , , 
2022/1/3, 350, 343, 17, 30, 6, 17
2022/1/4, 335, 305, 11, 26, 5, 11
2022/1/5, 365, 114, 14, 21, 5, 8
2022/1/6, 187, 83, 7, 15, 4, 5
2022/1/7, 158, 65, 9, 16, 5, 5
2022/1/8, 161, 43, 8, 8, 3, 2
2022/1/9, 113, 90, 19, 17, 8, 7
2022/1/10, 160, 88, 18, 14, 4, 4
2022/1/11, 155, 113, 20, 17, 4, 6
2022/1/12, 171, 187, 14, 21, 4, 10
2022/1/13, 229, 142, 9, 18, 5, 8
2022/1/14, 194, 111, 7, 11, 3, 3
2022/1/15, 167, 151, 14, 13, 3, 7
2022/1/16, 201, 231, 15, 21, 5, 8
2022/1/17, 245, 176, 11, 15, 4, 6
2022/1/18, 216, 214, 15, 15, 4, 9
2022/1/19, 229, 327, 15, 22, 9, 11
2022/1/20, 303, 232, 63, 26, 9, 12
2022/1/21, 245, 138, 23, 20, 9, 7
2022/1/22, 206, 87, 9, 12, 5, 5
2022/1/23, 165, 101, 10, 13, 4, 9
2022/1/24, 167, 129, 7, 15, 3, 9
2022/1/25, 163, 149, 15, 14, 4, 9
2022/1/26, 187, 121, 23, 21, 5, 7
2022/1/27, 172, 120, 28, 22, 6, 6
2022/1/28, 156, 167, 28, 23, 4, 8
2022/1/29, 178, 132, 28, 22, 8, 5
2022/1/30, 181, 300, 56, 27, 8, 13
2022/1/31, 272, 176, 18, 22, 6, 6
2021/10/1, 153, 97, 23, 11, 2, 8
2021/10/2, 157, 74, 20, 9, 1, 7
2021/10/3, 115, 74, 18, 9, 2, 8
2021/10/4, 86, 85, 40, 12, 3, 7
2021/10/5, 123, 77, 29, 8, 2, 7
2021/10/6, 134, 93, 38, 10, 3, 7
2021/10/7, 150, 124, 35, 14, 3, 9
2021/10/8, 155, 133, 34, 19, 3, 10
2021/10/9, 153, 132, 30, 17, 2, 10
2021/10/10, 151, 123, 25, 17, 2, 9
2021/10/11, 145, 125, 31, 16, 3, 9
2021/10/12, 149, 138, 43, 13, 4, 8
2021/10/13, 166, 125, 49, 16, 3, 8
2021/10/14, 157, 139, 63, 21, 3, 9
2021/10/15, 174, 167, 39, 19, 5, 12
2021/10/16, 242, 137, 14, 12, 3, 11
2021/10/17, 211, 18, 13, 5, , 7
2021/10/18, 36, 71, 28, 12, 1, 8
2021/10/19, 120, 160, 42, 24, 4, 10
2021/10/20, 187, 162, 39, 25, 3, 8
2021/10/21, 155, 141, 33, 22, 4, 6
2021/10/22, 128, 176, 39, 26, 3, 11
2021/10/23, 157, 116, 36, 17, 2, 8
2021/10/24, 127, 59, 41, 11, 2, 7
2021/10/25, 102, 128, 40, 17, 3, 6
2021/10/26, 150, 236, 47, 25, 3, 10
2021/10/27, 223, 139, 61, 15, 4, 8
2021/10/28, 193, 179, 57, 25, 5, 10
2021/10/29, 214, 176, 47, 27, 4, 10
2021/10/30, 196, 206, 52, 27, 5, 10
2021/10/31, 221, 317, 53, 37, 7, 10
2021/11/1, 262, 233, 44, 33, 6, 11
2021/11/2, 216, 242, 59, 34, 3, 12
2021/11/3, 245, 358, 36, 27, 2, 13
2021/11/4, 382, 533, 23, 27, 3, 15
2021/11/5, 524, 327, 36, 30, 5, 11
2021/11/6, 368, 369, 36, 31, 4, 14
2021/11/7, 368, 332, 39, 34, 4, 12
2021/11/8, 343, 397, 42, 26, 8, 16
2021/11/9, 401, 319, 56, 32, 6, 9
2021/11/10, 276, 451, 13, 46, 3, 16
2021/11/11, 396, 491, 29, 31, 3, 13
2021/11/12, 447, 195, 24, 25, 2, 7
2021/11/13, 231, 234, 36, 27, 4, 11
2021/11/14, 269, 250, 35, 31, 3, 10
2021/11/15, 288, 322, 42, 28, 3, 19
2021/11/16, 325, 317, 37, 29, 2, 24
2021/11/17, 310, 206, 75, 28, 4, 18
2021/11/18, 274, 236, 45, 35, 8, 13
2021/11/19, 284, 236, 38, 42, 4, 22
2021/11/20, 277, 206, 52, 29, 3, 13
2021/11/21, 256, 158, 44, 22, 4, 9
2021/11/22, 191, 210, 53, 33, 4, 22
2021/11/23, 219, 418, 51, 45, 5, 30
2021/11/24, 373, 339, 69, 36, 4, 23
2021/11/25, 339, 349, 56, 31, 4, 21
2021/11/26, 359, 306, 50, 33, 4, 23
2021/11/27, 320, 286, 53, 24, 4, 17
2021/11/28, 333, 206, 45, 25, 3, 15
2021/11/29, 260, 176, 44, 23, 3, 18
2021/11/30, 218, 365, 24, 37, 2, 19
2021/12/1, 356, 263, 11, 29, 3, 15
2021/12/2, 322, 177, 27, 23, 2, 14
2021/12/3, 270, 259, 31, 25, 1, 22
2021/12/4, 293, 249, 25, 34, 3, 21
2021/12/5, 243, 130, 29, 19, 3, 9
2021/12/6, 208, 119, 11, 19, 2, 10
2021/12/7, 169, 127, 16, 21, 2, 14
2021/12/8, 185, 218, 17, 21, 1, 20
2021/12/9, 240, 166, 21, 24, 2, 13
2021/12/10, 217, 153, 16, 23, 2, 14
2021/12/11, 194, 185, 16, 25, 1, 19
2021/12/12, 217, 272, 15, 26, 1, 21
2021/12/13, 294, 232, 21, 21, 1, 16
2021/12/14, 284, 151, 23, 16, 1, 9
2021/12/15, 248, 213, 13, 19, 3, 10
2021/12/16, 280, 144, 21, 13, 5, 9
2021/12/17, 220, 138, 18, 16, 1, 9
2021/12/18, 200, 163, 23, 19, 2, 12
2021/12/19, 218, 193, 23, 21, 2, 15
2021/12/20, 246, 323, 23, 24, 1, 21
2021/12/21, 343, 300, 26, 27, 3, 17
2021/12/22, 329, 495, 20, 35, 3, 29
2021/12/23, 415, 701, 10, 27, 2, 38
2021/12/24, 540, 422, 32, 32, 3, 26
2021/12/25, 404, 461, 13, 25, 3, 17
2021/12/26, 434, 97, 13, 13, 2, 8
2021/12/27, 181, 159, 6, 26, 4, 13
2021/12/28, 215, 148, 16, 16, 1, 15
2021/12/29, 199, 187, 22, 18, 2, 13
2021/12/30, 223, 214, 31, 18, 2, 10
2021/12/31, 253, , , , , 
2022/1/2, 407, 367, 23, 29, 4, 21
2021/7/1, 121, 221, 26, 9, 5, 5
2021/7/2, 136, 83, 28, 13, 4, 6
2021/7/3, 109, 116, 56, 16, 8, 9
2021/7/4, 167, 94, 40, 10, 5, 4
2021/7/5, 133, 92, 35, 9, 5, 4
2021/7/6, 115, 123, 30, 13, 6, 6
2021/7/7, 128, 137, 28, 9, 5, 4
2021/7/8, 118, 74, 41, 10, 9, 6
2021/7/9, 125, 63, 36, 7, 10, 5
2021/7/10, 99, 80, 29, 6, 6, 6
2021/7/11, 131, 69, 25, 6, 5, 5
2021/7/12, 117, 40, 11, 10, 5, 7
2021/7/13, 85, 52, 16, 8, 5, 6
2021/7/14, 117, 52, 20, 7, 5, 6
2021/7/15, 119, 63, 31, 8, 8, 6
2021/7/16, 134, 68, 51, 10, 7, 6
2021/7/17, 141, 59, 25, 16, 4, 7
2021/7/18, 113, 18, 8, 10, 3, 6
2021/7/19, 56, 51, 14, 9, 3, 7
2021/7/20, 117, 68, 26, 11, 5, 8
2021/7/21, 128, 44, 13, 6, 6, 6
2021/7/22, 90, 61, 19, 10, 8, 8
2021/7/23, 116, 71, 16, 11, 6, 7
2021/7/24, 145, 71, 21, 10, 5, 6
2021/7/25, 124, 68, 40, 9, 5, 6
2021/7/26, 138, 49, 9, 12, 4, 7
2021/7/27, 115, 26, 12, 10, 3, 6
2021/7/28, 63, 43, 17, 7, 2, 7
2021/7/29, 87, 43, 12, 5, 3, 6
2021/7/30, 106, 51, 16, 5, 3, 8
2021/7/31, 99, 65, 16, 4, 2, 9
2021/8/1, 104, 47, 12, 3, 2, 9
2021/8/2, 120, 50, 8, 2, 3, 6
2021/8/3, 99, 55, 16, 4, 3, 7
2021/8/4, 102, 55, 16, 3, 3, 5
2021/8/5, 128, 58, 18, 7, 4, 9
2021/8/6, 96, 44, 14, 12, 5, 9
