date, pm25, pm10, o3, no2, so2, co
2022/2/1, 258, 147, 18, 18, 3, 10
2022/2/2, 218, 129, 11, 14, 2, 10
2022/2/3, 215, 53, 18, 8, 1, 7
2022/2/4, 118, 88, 17, 13, 3, 13
2022/2/5, 164, 95, 32, 12, 2, 11
2022/2/6, 165, 115, 31, 15, 2, 11
2022/2/7, 178, 117, 30, 12, 2, 11
2022/2/8, 178, 94, 18, 12, 4, 10
2022/2/9, 163, 84, 30, 9, 2, 7
2022/2/10, 147, 94, 36, 12, 3, 6
2022/2/11, 155, 89, 37, 14, 3, 7
2022/2/12, 150, 110, 33, 12, 3, 11
2022/2/13, 168, 94, 34, 12, 2, 9
2022/2/14, 148, , , , , 
2022/1/3, 220, 134, 25, 18, 2, 14
2022/1/4, 219, 181, 4, 21, 2, 19
2022/1/5, 294, 97, 12, 12, 2, 10
2022/1/6, 183, 74, 10, 9, 1, 8
2022/1/7, 156, 52, 9, 9, 2, 7
2022/1/8, 127, 41, 5, 5, 1, 6
2022/1/9, 102, 100, 21, 12, 2, 8
2022/1/10, 167, 94, 23, 14, 2, 8
2022/1/11, 169, 97, 19, 13, 2, 8
2022/1/12, 169, 168, 16, 17, 2, 17
2022/1/13, 260, 190, 13, 14, 3, 14
2022/1/14, 271, 118, 9, 10, 1, 8
2022/1/15, 192, 123, 15, 10, 1, 8
2022/1/16, 202, 142, 16, 12, 1, 9
2022/1/17, 223, 165, 17, 11, 1, 9
2022/1/18, 245, 159, 17, 10, 1, 12
2022/1/19, 223, 230, 15, 14, 1, 13
2022/1/20, 277, 160, 20, 18, 2, 14
2022/1/21, 240, 108, 10, 15, 1, 10
2022/1/22, 194, 85, 12, 9, 1, 8
2022/1/23, 172, 79, 12, 10, 1, 9
2022/1/24, 160, 105, 11, 9, 1, 11
2022/1/25, 175, 101, 21, 9, , 9
2022/1/26, 171, 94, 29, 12, 1, 8
2022/1/27, 171, 89, 33, 12, 1, 7
2022/1/28, 163, 92, 35, 11, 1, 9
2022/1/29, 166, 121, 34, 16, 3, 9
